sku,name,category,size,material,pressure_rating,unit,list_price,stock_qty,lead_time_days
BV-1001,"Ball Valve 1/2"" CS Threaded 2-Piece",Valves,"1/2""",CS,1000 WOG,EA,40,12,3
BV-1002,"Ball Valve 1/2"" SS316 Threaded 2-Piece",Valves,"1/2""",SS316,1000 WOG,EA,58,40,0
BV-1003,"Ball Valve 1/2"" Brass Threaded 2-Piece",Valves,"1/2""",Brass,1000 WOG,EA,67,0,0
BV-1004,"Ball Valve 3/4"" CS Threaded 2-Piece",Valves,"3/4""",CS,1000 WOG,EA,51,12,0
BV-1005,"Ball Valve 3/4"" SS316 Threaded 2-Piece",Valves,"3/4""",SS316,1000 WOG,EA,69,120,3
BV-1006,"Ball Valve 3/4"" Brass Threaded 2-Piece",Valves,"3/4""",Brass,1000 WOG,EA,78,0,0
BV-1007,"Ball Valve 1"" CS Threaded 2-Piece",Valves,"1""",CS,1000 WOG,EA,62,40,21
BV-1008,"Ball Valve 1"" SS316 Threaded 2-Piece",Valves,"1""",SS316,1000 WOG,EA,80,0,3
BV-1009,"Ball Valve 1"" Brass Threaded 2-Piece",Valves,"1""",Brass,1000 WOG,EA,89,0,21
BV-1010,"Ball Valve 2"" CS Threaded 2-Piece",Valves,"2""",CS,1000 WOG,EA,84,0,0
BV-1011,"Ball Valve 2"" SS316 Threaded 2-Piece",Valves,"2""",SS316,1000 WOG,EA,102,4,0
BV-1012,"Ball Valve 2"" Brass Threaded 2-Piece",Valves,"2""",Brass,1000 WOG,EA,111,120,21
BV-1013,"Ball Valve 3"" CS Threaded 2-Piece",Valves,"3""",CS,1000 WOG,EA,95,0,3
BV-1014,"Ball Valve 3"" SS316 Threaded 2-Piece",Valves,"3""",SS316,1000 WOG,EA,113,0,3
BV-1015,"Ball Valve 3"" Brass Threaded 2-Piece",Valves,"3""",Brass,1000 WOG,EA,122,12,21
GV-1016,"Gate Valve 2"" CS Flanged Class 150",Valves,"2""",CS,Class 150,EA,500,2,0
GV-1017,"Gate Valve 2"" SS304 Flanged Class 150",Valves,"2""",SS304,Class 150,EA,570,6,7
GV-1018,"Gate Valve 3"" CS Flanged Class 150",Valves,"3""",CS,Class 150,EA,560,0,7
GV-1019,"Gate Valve 3"" SS304 Flanged Class 150",Valves,"3""",SS304,Class 150,EA,630,6,0
GV-1020,"Gate Valve 4"" CS Flanged Class 150",Valves,"4""",CS,Class 150,EA,620,0,0
GV-1021,"Gate Valve 4"" SS304 Flanged Class 150",Valves,"4""",SS304,Class 150,EA,690,2,45
EL-1022,"90 Deg Elbow 1/4"" SS304 Socket Weld",Fittings,"1/4""",SS304,3000 lb,EA,9,800,3
EL-1023,"90 Deg Elbow 1/4"" SS316 Socket Weld",Fittings,"1/4""",SS316,3000 lb,EA,14,800,7
EL-1024,"90 Deg Elbow 1/4"" PVC Socket Weld",Fittings,"1/4""",PVC,3000 lb,EA,24,800,3
EL-1025,"90 Deg Elbow 1/2"" SS304 Socket Weld",Fittings,"1/2""",SS304,3000 lb,EA,21,200,0
